designation,l,b,parallax,phot_g_mean_mag,SIMBAD_ID,Spectral_Type,distance,adjusted_mag,X,Y,Z,interim_ID,Absolute_Mag,star_name
Gaia DR3 4287802538945258496,37.85202882531805,-6.847791365309491,40.23314545498907,19.6322078704834,,,24.855128493961587,15.079812789072399,19.485561853795506,15.14291172008198,-2.963531057885937,,,
Gaia DR3 5812456039998285312,326.28245398874054,-17.823837846734236,40.2348425188081,12.566673278808594,PM J17375-6633,,24.854080130487446,8.014489096646106,19.680959306141222,-13.134277709760697,-7.607620453570712,PM J17375-6633,,
Gaia DR3 4700568859085688576,285.62875010532053,-50.95151930188502,40.23662927520319,13.38647174835205,SCR J0228-6248,,24.852976454871047,8.834509602192576,4.2179961925623655,-15.077950326747018,-19.301149207496778,SCR J0228-6248,,
Gaia DR3 2469051221001877632,139.7946948212358,-73.69107012073867,40.239860756407396,13.838321685791016,G 270-165,M4.5Ve,24.850980624747066,9.286761083138803,-5.329779585410497,4.504858945295899,-23.851015355021747,G 270-165,,
Gaia DR3 4922569671300905088,315.3072487134933,-59.965614522481836,40.24073875089509,12.299826622009277,L  217-15,,24.850438412434876,7.74837511328692,8.84212492758577,-8.747798032117059,-21.513650216652543,L 217-15,,
Gaia DR3 6620217750595836288,26.732996119622683,-53.576776054558145,40.24149872839928,12.212007522583008,UCAC3 130-478349,,24.849969101530476,7.660650441839793,13.177470185748284,6.637088219946818,-19.995607112848003,UCAC3 130-478349,,
Gaia DR3 3300578673582192384,184.05801667660177,-27.62822359543789,40.25468287258675,12.751605033874512,PM J04191+0944,M3.5V,24.841830282582983,8.201885812722043,-21.95406762918599,-1.5575185430982232,-11.519964509914512,PM J04191+0944,,
Gaia DR3 4284947760072791296,35.94188751480606,7.129916134192899,40.255405616659935,19.666536331176758,Gaia DR3 4284947760072791296,,24.841384273274944,15.116906880646427,19.956381248628887,14.468257186515938,3.0833024594928804,Gaia DR3 4284947760072791296,,
Gaia DR3 5812455902560048896,326.2656819506069,-17.83521502330769,40.25769214640485,10.368819236755371,L  112-52 A,,24.839973348777853,5.819473780979814,19.664689329039735,-13.131741518426736,-7.607998045055765,L 112-52 A,,
Gaia DR3 1781723721971913856,79.4931420220751,-26.97110429931993,40.26133228913428,13.853734016418457,UCAC4 559-137921,,24.83772749541822,9.304840645446141,4.036618388408904,21.765104501336058,-11.264929878562686,UCAC4 559-137921,,
Gaia DR3 585391024399034880,219.92523955518374,33.05636578209481,40.26300299367654,13.502837181091309,G  41-17,dM4.5,24.83669685932403,8.954151288334941,-15.963801426123041,-13.359762835709164,13.547519768683573,G 41-17,,
Gaia DR3 4516546690342824320,53.741909427352226,4.765447890459433,40.26307305547673,18.882606506347656,,,24.83665364097131,14.333929314102184,14.638203322711318,19.958079712438362,2.063352067993482,,,
Gaia DR3 6523443723579266816,332.28393516171093,-64.09570843627831,40.26486093607541,14.906901359558105,1RXS J233601.0-483013,,24.83555081905293,10.358446187239178,9.60500573835691,-5.04617666611275,-22.340200319295946,1RXS J233601.0-483013,,
Gaia DR3 5564028981196462336,249.76927437446676,-16.633044210765846,40.265354164460945,15.354928016662598,WT 202,DA7.0,24.83524659725013,10.806534091961716,-8.22871898610319,-22.32804692221894,-7.108866156649603,WT 202,,
Gaia DR3 4895945684431356672,222.70094621868648,-43.77232164745844,40.26733658692258,13.505882263183594,UCAC3 130-10983,,24.834023920140893,8.957734502176429,-13.17866408117818,-12.16132417345853,-17.18003933201689,UCAC3 130-10983,,
Gaia DR3 5553958176239495040,255.47568222924113,-24.402518761741057,40.2724665765023,14.794422149658203,UCAC4 213-008644,,24.8308605111232,10.246911339498341,-5.671036031891085,-21.88993811166804,-10.258732549159927,UCAC4 213-008644,,
Gaia DR3 3379989457790428416,193.39097114947342,11.453505842942437,40.27333938828646,6.77227783203125,HD  51419,G5VFe-1,24.830322371798427,2.2248753840354674,-23.674221560747693,-5.63605288244038,4.930623742124118,HD 51419,,
Gaia DR3 6559631640545167232,345.7102663399242,-51.34599999577259,40.27600074614034,11.960469245910645,L  283-1,,24.828681633586232,7.413397198865435,15.028558993004047,-3.827863984393164,-19.389515300098793,L 283-1,,
Gaia DR3 3966634844566024960,239.8215654472434,64.51591111586592,40.27634213530869,11.892370223999023,PM J11183+1347,dM4.0,24.828471181431823,7.3453405579890685,-5.37014007190517,-9.234817867823494,22.41278018817471,PM J11183+1347,,
Gaia DR3 1563590510627624064,113.10364464733802,61.58197390314716,40.280285728957914,3.9137754440307617,* zet02 UMa,kA1h(eA)mA7IV-V,24.826040379378185,-0.6327646789388588,-4.636050678547536,10.867153139660166,21.834474980260673,zet02 UMa,,
Gaia DR3 3974692997781566080,241.7607833350184,73.69152484224301,40.29017793625607,12.240981101989746,V* CU Leo,dM3.5,24.81994498962305,7.695668749954766,-3.297719707724264,-6.140126158343464,23.82128386080036,CU Leo,,
Gaia DR3 3994104184084389504,212.38695224032904,69.80761299135719,40.29098079053809,12.999188423156738,G 120-37,dM4.0,24.819450417420448,8.453975704124652,-7.234416434520364,-4.588789638612533,23.29401956570175,G 120-37,,
Gaia DR3 5177244498761708416,179.92821192142665,-59.66697588005443,40.29253325877724,13.93470287322998,LP  710-48,,24.818494125885273,9.389682807528747,-12.533954714010731,0.01570428056546303,-21.420956637818534,LP 710-48,,
